jurisdiction,source_type,official_code,activity_name,activity_name_normalized,official_category,official_status,official_risk_rating,official_industry_risk,official_dnfbp,official_third_party,official_when,official_notes,raw_payload,source_row_hash
Meydan,api,0140.00,Animal production,animal production,Agriculture,Active,Low,No,No,,,,"{'SN': 1, 'Category': 'Agriculture', 'Group': 14, 'Code': '0140.00', 'Activity Name': 'Animal production', 'النشاط': 'الانتاج الحيواني', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",bd1bd8aa380eb720026a6ca17637677fda69836489885666a11b388d5eb40f80
Meydan,api,0142.01,Raising of horses and other equines,raising of horses and other equines,Agriculture,Active,Low,No,No,,,,"{'SN': 2, 'Category': 'Agriculture', 'Group': 14, 'Code': '0142.01', 'Activity Name': 'Raising of horses and other equines', 'النشاط': 'تربية الخيول والحيوانات الخيلية الاخرى', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",b8fac088beb58822c05626492673812b7f462452aa3de25ea51c845e6fede682
Meydan,api,1410.00,"Manufacture of wearing apparel, except fur apparel",manufacture of wearing apparel except fur apparel,Manufacturing,Active,Low,No,No,DM (Dubai Municipality),POST,,"{'SN': 3, 'Category': 'Manufacturing', 'Group': 141, 'Code': '1410.00', 'Activity Name': 'Manufacture of wearing apparel, except fur apparel', 'النشاط': 'صنع الملبوسات باستثناء الملبوسات الفرائية', 'Third Party': 'DM (Dubai Municipality)', 'When': 'POST', 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",82472c1d59b0c4a3225e9caa2bf66f564d7f999da91add1828474430f0640b6e
Meydan,api,1410.91,Arabic Men Wears Tailoring,arabic men wears tailoring,Manufacturing,Active,Low,No,No,,,,"{'SN': 4, 'Category': 'Manufacturing', 'Group': 141, 'Code': '1410.91', 'Activity Name': 'Arabic Men Wears Tailoring', 'النشاط': 'خياطة الملابس الرجالية العربية', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",a375a97605c39c1d735d32d6473819c97d66d4126539c6d60623013f28fc0250
Meydan,api,1410.92,Men Tailoring,men tailoring,Manufacturing,Active,Low,No,No,,,,"{'SN': 5, 'Category': 'Manufacturing', 'Group': 141, 'Code': '1410.92', 'Activity Name': 'Men Tailoring', 'النشاط': 'خياطة الملابس الرجالية', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",57bc341be9efba940a131c75821bbbf74bbca9ed2e867d0f5ff9be44814ca34f
Meydan,api,1410.93,Arabic Gowns Tailoring,arabic gowns tailoring,Manufacturing,Active,Low,No,No,,,,"{'SN': 6, 'Category': 'Manufacturing', 'Group': 141, 'Code': '1410.93', 'Activity Name': 'Arabic Gowns Tailoring', 'النشاط': 'خياطة العباءات الرجالية (البشوت)', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",029ff583ce810ad18e94eec1d7c7b24c68cd6b964d89ee7df4b9ec6b9a28c74b
Meydan,api,1410.94,Ladies Gowns Tailoring,ladies gowns tailoring,Manufacturing,Active,Low,No,No,,,,"{'SN': 7, 'Category': 'Manufacturing', 'Group': 141, 'Code': '1410.94', 'Activity Name': 'Ladies Gowns Tailoring', 'النشاط': 'خياطة العباءات النسائية وتطريزها', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",3097e6055a83b25899aaf8be75d322e40c9823430d65991e1cfc040e79165361
Meydan,api,1410.95,Ladies Wears Tailoring & Embroidery,ladies wears tailoring and embroidery,Manufacturing,Active,Low,No,No,,,,"{'SN': 8, 'Category': 'Manufacturing', 'Group': 141, 'Code': '1410.95', 'Activity Name': 'Ladies Wears Tailoring & Embroidery', 'النشاط': 'خياطة الملابس النسائية وتطريزها', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",45dd8d69f49c22ff820d58697db130a86e7f60027216aa0d40a53c9468ef2c26
Meydan,api,1410.98,Ladies Wears Tailoring & Embroidery Workshop,ladies wears tailoring and embroidery workshop,Manufacturing,Active,Low,No,No,,,,"{'SN': 9, 'Category': 'Manufacturing', 'Group': 141, 'Code': '1410.98', 'Activity Name': 'Ladies Wears Tailoring & Embroidery Workshop', 'النشاط': 'مشغل خياطة وتطريز نسائي', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",5309dc9a830dc50fb112db0d0f6b143aa210241f05d65d728c0985f570652ecb
Meydan,api,1410.99,Gents Wears Tailoring & Embroidery Workshop,gents wears tailoring and embroidery workshop,Manufacturing,Active,Low,No,No,,,,"{'SN': 10, 'Category': 'Manufacturing', 'Group': 141, 'Code': '1410.99', 'Activity Name': 'Gents Wears Tailoring & Embroidery Workshop', 'النشاط': 'مشغل خياطة وتطريز رجالي', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",afca2f2f976a7b6e1d2239e0781d014246919b6aa79e9f5ebadeb61a20627291
Meydan,api,1810.00,Printing And Service Activities Related To Printing,printing and service activity related to printing,Manufacturing,Active,Low,No,No,,,,"{'SN': 11, 'Category': 'Manufacturing', 'Group': 181, 'Code': '1810.00', 'Activity Name': 'Printing And Service Activities Related To Printing', 'النشاط': 'الطباعة وانشطة الخدمات المتصلة بالطباعة', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",6e4546151a42371f82a15f93a3d70077215a84685272c79da94bc80d6b5956d5
Meydan,api,1811.00,Printing,printing,Manufacturing,Active,Low,No,No,,,,"{'SN': 12, 'Category': 'Manufacturing', 'Group': 181, 'Code': '1811.00', 'Activity Name': 'Printing', 'النشاط': 'الطباعة', 'Third Party': None, 'When': None, 'Risk Rating': 'Low', 'Industry Risk': 'No', 'DNFBP': 'No', 'Notes': None, 'Status': 'Active', 'ESR': 'No', 'ESR Notes': None, 'Edit Remarks': None}",712a97be183c4b42865d9dbf9af3257132087a1b9b955b7cfd0247ff3a8165a9
